Status,Target,Operation,StatusID
Dialer Outbound,POWERDIAL,UPDATE,42
Power Dialer EXCL 1,POWERDIAL,UPDATE,161
Power Dialer OB EXCL 1,POWERDIAL,UPDATE,166
Power Dialer EXCL Call 1,POWERDIAL,UPDATE,171
Purchase Dialer,POWERDIAL,UPDATE,193
Predictive Dialer Call 1,POWERDIAL,UPDATE,291
New: Inbound,POWERDIAL,ADD,1
New: Outbound,POWERDIAL,ADD,26
New: Email,POWERDIAL,ADD,40
Contact Attempt 1,POWERDIAL,ADD,21
Contact Attempt 2,POWERDIAL,ADD,2
Contact Attempt 3,POWERDIAL,ADD,13
Contact Attempt 4,POWERDIAL,ADD,14
Contact Attempt 5,POWERDIAL,ADD,15
RETIRED: Contact Attempt 6,POWERDIAL,ADD,
RETIRED: Nurture,POWERDIAL,ADD,
Dialer Contact Attempt 1,POWERDIAL,ADD,43
Dialer Contact Attempt 2,POWERDIAL,ADD,44
Dialer Contact Attempt 3,POWERDIAL,ADD,45
Dialer Contact Attempt 4,POWERDIAL,ADD,46
Dialer Contact Attempt 5,POWERDIAL,ADD,50
Dialer Contact Attempt 6,POWERDIAL,ADD,51
Dialer Contact Attempt 7,POWERDIAL,ADD,79
Dialer Contact Attempt 8,POWERDIAL,ADD,80
Dialer Contact Attempt 9,POWERDIAL,ADD,81
Dialer Contact Attempt 10,POWERDIAL,ADD,149
Dialer Contact Attempt 11,POWERDIAL,ADD,150
Dialer Contact Attempt 12,POWERDIAL,ADD,151
Dialer Contact Attempt 13,POWERDIAL,ADD,152
Dialer Contact Attempt 14,POWERDIAL,ADD,153
RETIRED: Dialer Nurture,POWERDIAL,ADD,
Recycle Outbound,POWERDIAL,ADD,53
Recycle Contact Attempt 1,POWERDIAL,ADD,54
Recycle Contact Attempt 2,POWERDIAL,ADD,56
Recycle Contact Attempt 3,POWERDIAL,ADD,57
Recycle Contact Attempt 4,POWERDIAL,ADD,58
Recycle Contact Attempt 5,POWERDIAL,ADD,181
Recycle Contact Attempt 6,POWERDIAL,ADD,182
Recycle Nurture,POWERDIAL,ADD,55
Post Outbound,POWERDIAL,ADD,52
Contacted - Call Back,POWERDIAL,ADD,9
Call Back 1,POWERDIAL,ADD,73
Call Back 2,POWERDIAL,ADD,74
Call Back 3,POWERDIAL,ADD,75
Initial Contact - Unresponsive,POWERDIAL,ADD,76
Encompass Loan Started,POWERDIAL,ADD,39
Pre-Application,POWERDIAL,ADD,30
RETIRED: Purchase Pre-Approval Issued,POWERDIAL,ADD,
Application,POWERDIAL,ADD,3
Submitted,POWERDIAL,ADD,4
Underwriting,POWERDIAL,ADD,59
Approved,POWERDIAL,ADD,31
Funded,POWERDIAL,ADD,6
Lead Review,POWERDIAL,ADD,7
No Rate Benefit,POWERDIAL,ADD,37
No Sale,POWERDIAL,ADD,29
NS - Competitor,POWERDIAL,ADD,67
NS - Inquiry by Mistake,POWERDIAL,ADD,77
NS - Not Interested,POWERDIAL,ADD,68
NS - Product Not Offered,POWERDIAL,ADD,69
NS - Non Mortgage Lead,POWERDIAL,ADD,147
NS - Transition Script Completed,POWERDIAL,ADD,83
RETIRED: Bad Lead - Return to Vendor,POWERDIAL,ADD,
RETIRED: Does Not Qualify,POWERDIAL,ADD,
RETIRED: DNQ - Credit,POWERDIAL,ADD,
RETIRED: DNQ - Income,POWERDIAL,ADD,
RETIRED: DNQ - Value,POWERDIAL,ADD,
Do Not Call List,POWERDIAL,ADD,32
Dormant,POWERDIAL,ADD,35
Bad Phone Number,POWERDIAL,ADD,38
Transfer,POWERDIAL,ADD,36
Transfer to Servicing,POWERDIAL,ADD,41
RETIRED: Closer,POWERDIAL,ADD,
No Contact - Unresponsive,POWERDIAL,ADD,100
No Calls - Email Only,POWERDIAL,ADD,102
WI - Temp Status,POWERDIAL,ADD,101
Planner,POWERDIAL,ADD,
Planner Call Complete,POWERDIAL,ADD,
Planner Contact Attempt 1,POWERDIAL,ADD,
Planner Contact Attempt 2,POWERDIAL,ADD,
Planner Contact Attempt 3,POWERDIAL,ADD,
Planner Contact Attempt 4,POWERDIAL,ADD,
Planner Contact Attempt 5,POWERDIAL,ADD,
Planner Contact Attempt 6,POWERDIAL,ADD,
Planner Contact Attempt 7,POWERDIAL,ADD,
Planner Attempt 2 Complete,POWERDIAL,ADD,
Planner Attempt 5 Complete,POWERDIAL,ADD,
Shopper,POWERDIAL,ADD,
Shopper Call Complete,POWERDIAL,ADD,
Shopper Contact Attempt 1,POWERDIAL,ADD,
Shopper Contact Attempt 2,POWERDIAL,ADD,
Shopper Contact Attempt 3,POWERDIAL,ADD,
Shopper Contact Attempt 4,POWERDIAL,ADD,
Shopper Contact Attempt 5,POWERDIAL,ADD,
Shopper Contact Attempt 6,POWERDIAL,ADD,
Shopper Contact Attempt 7,POWERDIAL,ADD,
Shopper Attempt 2 Complete,POWERDIAL,ADD,
Shopper Attempt 5 Complete,POWERDIAL,ADD,
Dormant - Encompass Inactive,POWERDIAL,ADD,127
NS - Already Purchased,POWERDIAL,ADD,128
Refi - Purchase Leads,POWERDIAL,ADD,131
Follow Up Dialer Outbound,POWERDIAL,ADD,137
Follow Up Dialer Attempt 1,POWERDIAL,ADD,138
Follow Up Dialer Attempt 2,POWERDIAL,ADD,139
Follow Up Dialer Attempt 3,POWERDIAL,ADD,140
Follow Up Dialer Attempt 4,POWERDIAL,ADD,141
LA - Temp Status,POWERDIAL,ADD,142
Purchase - Docs Requested,POWERDIAL,ADD,145
Shopper - Cert. Issued,POWERDIAL,ADD,157
FL - Temp Status,POWERDIAL,ADD,146
Phone Research - Holding Status,POWERDIAL,ADD,148
Disaster Recovery,POWERDIAL,ADD,154
Post Outbound Contacted Callback,POWERDIAL,ADD,156
Suppression,POWERDIAL,ADD,158
CDL Portal Initial,POWERDIAL,ADD,159
CDL Portal Pending,POWERDIAL,ADD,160
Power Dialer EXCL 2,POWERDIAL,ADD,162
Power Dialer EXCL 3,POWERDIAL,ADD,163
Power Dialer EXCL 4,POWERDIAL,ADD,164
Power Dialer EXCL 5,POWERDIAL,ADD,165
Power Dialer EXCL 6,POWERDIAL,ADD,176
Power Dialer EXCL 7,POWERDIAL,ADD,185
Power Dialer EXCL 8,POWERDIAL,ADD,282
Power Dialer EXCL 9,POWERDIAL,ADD,283
Power Dialer EXCL 10,POWERDIAL,ADD,284
Power Dialer OB EXCL 2,POWERDIAL,ADD,167
Power Dialer OB EXCL 3,POWERDIAL,ADD,168
Power Dialer OB EXCL 4,POWERDIAL,ADD,169
Power Dialer OB EXCL 5,POWERDIAL,ADD,170
Power Dialer OB EXCL 6,POWERDIAL,ADD,177
Power Dialer OB EXCL 8,POWERDIAL,ADD,
Power Dialer OB EXCL 9,POWERDIAL,ADD,
Power Dialer OB EXCL 10,POWERDIAL,ADD,
Power Dialer EXCL Call 2,POWERDIAL,ADD,172
Power Dialer EXCL Call 3,POWERDIAL,ADD,173
Power Dialer EXCL Call 4,POWERDIAL,ADD,174
Power Dialer EXCL Call 5,POWERDIAL,ADD,175
